time,Pvar,Pdiv,AreaSedCover,Plant,AngioGymno
-541.0,0.16573315697140806,0.49187786849355264,320174.2851668708,0.0,0.0
-540.0,0.1627616405189164,0.5260289594953629,343261.0552718454,0.0,0.0
-539.0,0.16089443690254357,0.548926315264231,370221.7883671714,0.0,0.0
-538.0,0.15996242031629887,0.5622640921408987,402004.263281578,0.0,0.0
-537.0,0.15979646495419114,0.5677364464661088,439556.2588437944,0.0,0.0
-536.0,0.16022744501022973,0.5670375345806037,483825.55388254975,0.0,0.0
-535.0,0.1610862346784238,0.5618615128251253,535759.927226573,0.0,0.0
-534.0,0.1622037081527823,0.5539025375404163,596307.1577045936,0.0,0.0
-533.0,0.16341073962731428,0.5448547650672189,666415.0241453405,0.0,0.0
-532.0,0.16453820329602892,0.5364123517462753,747031.3053775433,0.0,0.0
-531.0,0.16541697335293526,0.5302694539183282,839103.7802299308,0.0,0.0
-530.0,0.1658779239920425,0.5281202279241197,943580.2275312316,0.0,0.0
-529.0,0.1657902303310559,0.5311493710312656,1059491.5728976275,0.0,0.0
-528.0,0.1652261381354827,0.5378404398030929,1178201.3290951075,0.0,0.0
-527.0,0.16432493805285164,0.5457851944660211,1289156.1556771128,0.0,0.0
-526.0,0.16322596269634987,0.5525748370409855,1381802.712197083,0.0,0.0
-525.0,0.16206854467916526,0.5558005695489217,1445587.65820846,0.0,0.0
-524.0,0.16098342910989144,0.5535759368487521,1474345.963135629,0.0,0.0
-523.0,0.16004880252037956,0.5472114074034488,1479465.835886751,0.0,0.0
-522.0,0.1593229748401322,0.5392264622321798,1476723.795240931,0.0,0.0
-521.0,0.15886421877857448,0.5321428462994662,1481896.359977275,0.0,0.0
-520.0,0.15873080704513082,0.5284823045698284,1510760.048874888,0.0,0.0
-519.0,0.15897053439270115,0.5303147400527206,1574205.5893317584,0.0,0.0
-518.0,0.15955692936597926,0.5365074667192764,1663580.5432214031,0.0,0.0
-517.0,0.16043143626188555,0.5445442263520714,1765346.68103622,0.0,0.0
-516.0,0.16153537208308044,0.5519032714107165,1865965.7732686077,0.0,0.0
-515.0,0.16281005383222374,0.5560628543548214,1951899.5904109653,0.0,0.0
-514.0,0.16419098286521533,0.554880689098397,2013254.8957997607,0.0,0.0
-513.0,0.16556571297916278,0.5493429894702606,2054718.4241477344,0.0,0.0
-512.0,0.16679819790093847,0.5419758353441462,2084621.903011693,0.0,0.0
-511.0,0.1677522265500982,0.5353160600020836,2111297.059948445,0.0,0.0
-510.0,0.16829158784619724,0.531900496726102,2143075.622514799,0.0,0.0
-509.0,0.16830428641518935,0.5339344532355026,2186896.836845548,0.0,0.0
-508.0,0.16791189327037437,0.540425592434859,2244130.023387422,0.0,0.0
-507.0,0.1673666421219503,0.5485927372335561,2314752.0211651367,0.0,0.0
-506.0,0.1669221988308529,0.5556351036556192,2398739.669203407,0.0,0.0
-505.0,0.16683222925801844,0.5587519077250743,2496069.8065269487,0.0,0.0
-504.0,0.1673173705303364,0.5554518111111435,2605905.0587211912,0.0,0.0
-503.0,0.16822285427810307,0.5467606431693112,2724151.197614425,0.0,0.0
-502.0,0.16915571567789,0.5359358917619849,2845899.781595655,0.0,0.0
-501.0,0.16971919589539125,0.5262705907746935,2966242.3690538835,0.0,0.0
-500.0,0.16951653609630002,0.5210577740929649,3080270.5183781176,0.0,0.0
-499.0,0.16817982998789976,0.5233197509765666,3183075.787957361,0.0,0.0
-498.0,0.16573112873131496,0.532419843298417,3271475.840919163,0.0,0.0
-497.0,0.16247265262855543,0.5450925339578819,3349192.759345255,0.0,0.0
-496.0,0.15871276157547032,0.5580146977840238,3421674.7300559115,0.0,0.0
-495.0,0.15475981546790823,0.5678632096059049,3492907.487189581,0.0,0.0
-494.0,0.1509161092475232,0.5715173272295274,3561026.9541574065,0.0,0.0
-493.0,0.14738536537652913,0.5691455982381287,3622706.601688706,0.0,0.0
-492.0,0.1442912138443383,0.5635891960179882,3674619.900512796,0.0,0.0
-491.0,0.14175496569776663,0.5577666753322009,3714484.619000071,0.0,0.0
-490.0,0.13989793198363015,0.5545965909438618,3744195.716085241,0.0,0.0
-489.0,0.13883397326830416,0.5568524382911176,3766692.448344096,0.0,0.0
-488.0,0.13852929580779483,0.5644329136957104,3784914.072352426,0.0,0.0
-487.0,0.13881453204114935,0.5745971190901322,3801799.8446860174,0.0,0.0
-486.0,0.139515285545336,0.5845062454943771,3820289.0219206624,0.0,0.0
-485.0,0.14045715989732277,0.591321483928438,3843320.860632148,0.0,0.0
-484.0,0.14146850433512692,0.5923115402070566,3873379.301543702,0.0,0.0
-483.0,0.14244517797121337,0.5873886767107502,3911127.02196832,0.0,0.0
-482.0,0.14335306450698826,0.5792071837585818,3956771.38336643,0.0,0.0
-481.0,0.14416129645869818,0.5705485689970514,4010747.9551386833,0.0,0.0
-480.0,0.14483900634258995,0.5641943400726588,4074405.138446619,0.0,0.0
-479.0,0.14535825749818754,0.5628477524236994,4149319.542391996,0.0,0.0
-478.0,0.14578248986640135,0.5667723303412516,4237067.776076571,0.0,0.0
-477.0,0.14628222919439104,0.5733724353442358,4339226.448602103,0.0,0.0
-476.0,0.14703409870124262,0.5798896280599377,4457372.16907035,0.0,0.0
-475.0,0.14821472160604288,0.5835654691156428,4593081.546583072,0.0,0.0
-474.0,0.14999478228024277,0.5816996850488809,4746459.236728942,0.0,0.0
-473.0,0.1523035573676899,0.5739563836842299,4911722.081044296,0.0,0.0
-472.0,0.15475049178177847,0.5631321498634434,5081614.967552385,0.0,0.0
-471.0,0.15692301666806036,0.5522391743712193,5248882.784276465,0.0,0.0
