0 745.26805
3 743.69987
6 742.13168
9 740.5635
12 737.24303
15 731.10838
18 724.97372
21 718.83907
24 712.70442
27 706.56977
30 704.34445
33 702.77627
36 701.20809
39 696.18269
42 681.72235
45 666.55303
48 638.31074
51 609.64085
54 580.27867
57 551.71341
60 524.37073
63 517.55483
66 556.67904
69 609.22163
72 601.95173
75 594.68182
78 587.41191
81 580.61224
84 576.23068
87 571.84912
90 567.46756
93 550.8314
96 504.98498
99 491.08213
102 480.86426
105 471.0373
108 463.84305
111 456.6488
114 449.45456
117 442.26031
120 435.34698
123 429.99124
126 424.63551
129 419.27978
132 415.83892
135 417.21686
138 418.5948
141 425.76329
144 434.67931
147 424.46144
150 413.40724
153 403.45442
156 396.63852
159 389.82262
162 382.0679
165 373.73914
168 365.22589
171 355.49358
174 345.76127
177 336.02896
180 326.29666
183 316.56435
186 308.49753
189 303.95356
192 295.19393
195 285.22614
198 277.65363
201 270.08112
204 264.18517
207 258.73205
210 253.27894
213 247.82582
216 272.71905
219 276.64154
222 278.58946
225 271.1545
228 263.71953
231 254.71907
234 235.46395
237 219.48068
240 207.22504
243 194.96941
246 263.56442
249 392.29395
252 420.38539
255 428.10761
258 430.94032
261 430.94976
264 430.95919
267 430.96863
270 430.97806
273 430.98749
276 431.0697
279 436.56004
282 442.05038
285 447.54073
288 453.03107
291 453.18281
294 452.62237
297 452.06194
300 450.05241
303 446.95588
306 443.85934
309 444.81291
312 449.30056
315 453.7882
318 458.27585
321 462.7635
324 467.25114
327 471.73879
330 472.44945
333 466.76913
336 460.85047
339 454.83607
342 448.82167
345 442.80727
348 436.62716
351 419.62664
354 402.38843
357 384.7112
360 367.03397
363 391.71562
366 445.2869
369 489.94757
372 491.20105
375 492.45453
378 492.59894
381 482.91776
384 473.23657
387 463.55538
390 453.87419
393 444.193
396 448.4829
399 455.34634
402 462.20979
405 464.0202
408 461.54439
411 459.06857
414 447.56367
417 428.66215
420 412.0377
423 395.41325
426 379.05915
429 362.73562
432 379.99671
435 467.34598
438 467.35542
441 467.36485
444 460.87102
447 439.22381
450 417.5766
453 395.92939
456 374.28219
459 352.99653
462 331.7712
465 310.54587
468 289.32054
471 268.0952
474 246.86987
477 226.24219
480 208.11398
483 189.98576
486 171.85755
489 159.30688
492 147.6332
495 135.95952
498 124.28584
501 124.1573
504 124.16674
507 125.22446
510 127.95919
513 127.96863
516 126.77222
519 120.63757
522 114.50291
525 110.28618
528 108.34623
531 105.91476
534 103.48329
537 101.05183
540 106.11828
543 99.341116
546 90.634356
549 81.927595
552 73.220835
555 64.514075
558 56.235274
561 47.9861
564 39.736925
567 31.487751
570 23.238576
573 18.407323
576 15.180141
579 11.952958
582 8.7257756
585 5.498593
588 2.2714105
591 -0.95577203
594 -4.1829546
597 -7.4101371
600 -10.63732

