time (Ma),Area (km2),bioPlant (Species Nb)
-450.0,8037163.734124318,0.0930129477124432
-449.0,8069012.825680309,0.1954320736245068
-448.0,8099958.729893948,0.3739996664903006
-447.0,8133940.7649234915,0.5887425145051077
-446.0,8174790.989430333,0.7956933641083043
-445.0,8226341.462075867,0.9412035151250401
-444.0,8291700.878010087,0.9390868358966737
-443.0,8371084.478337403,0.69632923421898
-442.0,8463984.140650822,0.21044492834819264
-441.0,8569891.74254334,-0.1552135112619088
-440.0,8684180.040209582,0.05510691164619727
-439.0,8785745.304250583,1.1412985896664354
-438.0,8849364.683869,2.6462076786493176
-437.0,8849815.328267487,3.8831553460212342
-436.0,8761874.386648694,4.264489341076405
-435.0,8572027.37958979,4.054040424650219
-434.0,8313593.313165987,3.949500922945279
-433.0,8031599.564827006,4.53668695411718
-432.0,7771073.5120225735,5.570904854255313
-431.0,7577042.532202408,6.443599922949144
-430.0,7494534.002816237,6.654852077240623
-429.0,7552797.370611579,6.683694830276858
-428.0,7717970.359527138,7.521819089278048
-427.0,7940412.762799402,10.043422202373991
-426.0,8170484.373664876,13.773702248122532
-425.0,8358544.985360052,17.399296607526566
-424.0,8468608.55795458,19.67409778120188
-423.0,8519305.718850683,20.507378697602775
-422.0,8542921.26228374,20.677936180195935
-421.0,8571739.982489128,20.957945723254685
-420.0,8631337.315670067,21.595297148144276
-419.0,8720451.265901178,22.37124567688927
-418.0,8831110.479224931,23.056730477429525
-417.0,8955343.601683786,23.573230814949767
-416.0,9085179.279320214,24.00045029328482
-415.0,9212646.15817668,24.42460557358338
-414.0,9330878.844203137,24.896856538675294
-413.0,9437435.782979496,25.424893140215303
-412.0,9530981.379993148,26.013748395869804
-411.0,9610180.040731486,26.670992931836107
-410.0,9673696.1706819,27.407915738565045
-409.0,9721100.567951508,28.236059783469045
-408.0,9755589.601126265,29.163453552762583
-407.0,9781266.031411843,30.19201388497926
-406.0,9802232.62001391,31.322915224077864
-405.0,9822592.128138147,32.536958594785304
-404.0,9845662.07431512,33.77263971415109
-403.0,9871619.006374985,34.96322557400756
-402.0,9899854.229472797,36.10620884120489
-401.0,9929759.048763601,37.39520037389957
-400.0,9960724.769402456,39.0602316424168
-399.0,9991731.047395611,41.174005074550855
-398.0,10020110.94215416,43.471742594559714
-397.0,10042785.863940362,45.64503124462068
-396.0,10056677.223016508,47.43926403938657
-395.0,10058706.429644875,48.79879172382789
-394.0,10045719.141023371,49.71394098202974
-393.0,10014258.002092404,50.183773581839816
-392.0,9960789.904727995,50.24670504130737
-391.0,9881781.740806185,49.95222857047427
-390.0,9776644.441948285,49.362408197530655
-389.0,9656565.098756796,48.60761305837356
-388.0,9535674.841579504,47.841302359192454
-387.0,9428104.80076419,47.19261890251614
-386.0,9347986.10665864,46.63172546840074
-385.0,9309449.889610648,46.064947459016125
-384.0,9321522.538368436,45.41600063046309
-383.0,9372811.475282034,44.74756298795854
-382.0,9446819.381101912,44.18837102434243
-381.0,9527048.93657854,43.85143488482267
-380.0,9597002.822462399,43.69387442381542
-379.0,9645023.395245712,43.58545332401784
-378.0,9678811.71438777,43.42522187294832
-377.0,9710908.515089612,43.4754570152624
-376.0,9753854.532552283,44.23839328895266
-375.0,9820190.501976838,46.21251608176411
-374.0,9918972.236690462,49.50963389591227
-373.0,10045315.862524958,53.69071253615668
-372.0,10190852.583438277,58.39955551445326
-371.0,10347213.603388373,64.57580264239711
-370.0,10506030.1263332,73.9179814323809
-369.0,10659341.329088474,86.93144631497972
-368.0,10800818.279901002,101.43839381013598
-367.0,10924540.019875346,113.90522639336774
-366.0,11024585.59011608,127.11506894813385
-365.0,11096954.847394392,141.05901142917116
-364.0,11145330.911147932,148.8899146319261
-363.0,11175317.716480989,153.7763773343224
-362.0,11192519.19849783,159.20796025046081
-361.0,11202539.292302728,165.4817724481277
-360.0,11210981.932999957,172.39429078937331
-359.0,11223451.055693801,179.73133114775408
-358.0,11244053.580644466,187.26506332729582
-357.0,11270908.368735854,194.5523673449041
-356.0,11300637.26600781,200.92329537396893
-355.0,11329862.118500182,205.97114826861525
-354.0,11355204.772252811,210.0400172015864
-353.0,11374483.284798251,213.5854256715148
-352.0,11390300.559639873,216.69582772979305
-351.0,11406455.711773759,219.09254287262166
-350.0,11426747.856195992,220.4873416632817
-349.0,11454976.107902661,220.88934249128664
-348.0,11494414.018817676,220.72412890526283
-347.0,11546232.88857627,220.445614823897
-346.0,11611078.453741483,220.30923785078215
-345.0,11689596.45087638,220.2423406981406
-344.0,11782432.616544023,220.14182942715414
-343.0,11887192.692526624,219.94423806213553
-342.0,11989322.44148304,219.6635074863753
-341.0,12071227.631291285,219.3225222736557
-340.0,12115314.02982939,218.94112630877643
-339.0,12103987.40497536,218.53212560108238
-338.0,12031231.465495344,218.1073279809013
-337.0,11937341.683707943,217.67480744068612
-336.0,11874191.47281988,217.23236424589373
-335.0,11893654.24603787,216.7760486237525
-334.0,12047603.416568639,216.30885657756875
-333.0,12387912.397618908,215.85659639814713
-332.0,12921082.581470722,215.44975267390183
-331.0,13472127.27670743,215.11833298572205
-330.0,13865879.80062887,214.8904686268785
-329.0,14107941.589099502,214.79382962277685
-328.0,14249106.10762494,214.85093289437316
-327.0,14340166.82171081,215.05994142931533
-326.0,14423062.255694956,215.41183054933148
-325.0,14504311.16924409,215.89802380201962
-324.0,14581577.3808572,216.51251166132852
-323.0,14652524.70903322,217.25019478655685
-322.0,14714816.972271133,218.10067237625242
-321.0,14766117.989069887,219.01659533965696
-320.0,14804091.577928448,219.93489215155773
-319.0,14826401.557345761,220.794628095126
-318.0,14831288.727789551,221.55371822694931
-317.0,14819301.817602506,222.17967738827687
-316.0,14791566.53709609,222.64158181485823
-315.0,14749208.596581742,222.92438356657212
-314.0,14694223.858908525,223.0226539285359
-313.0,14632088.797075916,222.93460034546985
-312.0,14569150.036620997,222.70548312298786
-311.0,14511754.203080857,222.41423246333815
-310.0,14464049.37110389,222.1394218305776
-309.0,14421389.411783759,221.94099327493066
-308.0,14376929.64532542,221.86323471852882
-307.0,14323825.391933843,221.94722188509522
-306.0,14255231.971814007,222.17287343288092
-305.0,14164304.70517087,222.45979318148167
-304.0,14051185.060622517,222.72561407967987
-303.0,13943959.100439508,222.90590822684894
-302.0,13877699.035305496,222.9570738784777
-301.0,13887477.075904166,222.83646923570572
-300.0,13998608.010356538,222.492368358006
-299.0,14197376.936533133,221.86063286471176
-298.0,14460311.529741824,220.87729892814792
-297.0,14763939.465290487,219.54874919746572
-296.0,15084902.018674143,217.99414407101813
-295.0,15400294.866136368,216.34256194949404
-294.0,15687327.28410788,214.6981802922618
-293.0,15923208.5490194,213.11855489209066
-292.0,16091321.951529952,211.65601413514506
-291.0,16199746.839211758,210.3421542868756
-290.0,16262736.573865362,209.16313599525571
-289.0,16294544.517291296,208.0991154848641
-288.0,16309424.031290103,207.13859505723127
-287.0,16321628.477662306,206.2916382576658
-286.0,16342158.825065643,205.57172414422132
-285.0,16369006.469586588,204.9564163237198
-284.0,16396910.41416882,204.3131035644123
-283.0,16420609.661756013,203.48811962288755
-282.0,16434843.215291837,202.34650012678455
-281.0,16434350.077719972,200.82176433868025
-280.0,16413869.251984084,198.8631030498948
-279.0,16371014.486382585,196.42752924858763
-278.0,16314898.51063283,193.52959583171585
-277.0,16257508.799806913,190.20965912445166
-276.0,16210832.82897692,186.69309877490906
-275.0,16186858.073214944,183.76353442746048
-274.0,16194128.905525723,182.22221172194256
-273.0,16227417.290644638,181.9098144900775
-272.0,16278052.091239685,182.07220268193174
-271.0,16337362.16997888,182.00954144544852
-270.0,16396676.389530232,181.8362943648932
-269.0,16447323.612561772,182.23298899365602
-268.0,16482932.544319697,183.88519736037662
-267.0,16506331.260363057,187.08579793711556
-266.0,16522647.67882908,191.51393817317376
-265.0,16537009.717855005,196.80060172987848
-264.0,16555390.052542223,202.66507673290812
-263.0,16587140.385848772,208.90020287881566
-262.0,16639608.874615775,215.31790590456387
-261.0,16708750.463360094,221.870771583065
-260.0,16787671.793517515,228.58103065316308
-259.0,16869479.506523848,235.42128884816015
-258.0,16947280.24381488,242.26170087197133
-257.0,17014180.64682639,248.94495522023766
-256.0,17063287.356994193,255.2421632428053
-255.0,17097462.336675234,260.91563921058247
-254.0,17158588.831911106,265.9233812417509
-253.0,17298305.40966454,270.3778182652718
-252.0,17568250.636898305,274.3950317688708
-251.0,18004238.291992728,278.0875081019361
-250.0,18578782.99899851,281.5662776957112
-249.0,19248574.593383927,284.92448539025713
