time (Ma),sedFlux (km3/yr),bioMar (Family Nb)
-540.0,1.322213300860521,106.11828000000001
-539.0,1.2758644961786685,104.95332153853899
-538.0,1.2388171883721066,102.75358534297888
-537.0,1.209745571170531,101.05183000000001
-536.0,1.1873238383036386,100.98160132023254
-535.0,1.1702261835011258,102.07959401010605
-534.0,1.157126800492689,103.48328999999998
-533.0,1.146699883008024,104.51577651386424
-532.0,1.1376196247768284,105.24256194993029
-531.0,1.1285602195287976,105.91476
-530.0,1.118195860993628,106.71797558727349
-529.0,1.1055768850682748,107.57577856054327
-528.0,1.0912581963187216,108.34623
-527.0,1.0761708414782112,108.94561669259744
-526.0,1.0612458672799854,109.52312825234121
-525.0,1.0474143204572863,110.28618
-524.0,1.0355700519318587,111.39552727196644
-523.0,1.026458129379456,112.825285467129
-522.0,1.0207864246643306,114.50291000000001
-521.0,1.0192628096507383,116.36845014546269
-520.0,1.0225951562029347,118.41233061988358
-519.0,1.0312634123645847,120.63757
-518.0,1.0448358308970067,122.98572733136798
-517.0,1.0626527407409267,125.15252353481822
-516.0,1.0840544708370743,126.77222
-515.0,1.1083813501261786,127.60045978832461
-514.0,1.134795112353799,127.878412648251
-513.0,1.1617431104848273,127.96863000000002
-512.0,1.187494102288986,128.1307301820003
-511.0,1.2103168455359983,128.21259920551125
-510.0,1.2284800979955874,127.95919
-509.0,1.2414691207557007,127.21129392811876
-508.0,1.2536351881771797,126.19305608525971
-507.0,1.27054607793909,125.22446000000002
-506.0,1.2977695677204981,124.56439225367289
-505.0,1.3408734352004696,124.22735163863527
-504.0,1.402511093132602,124.16674
-503.0,1.473678494568623,124.29817409422678
-502.0,1.54245722763479,124.3861303231623
-501.0,1.5969288804573618,124.15730000000002
-500.0,1.6251750411625965,123.54018322127187
-499.0,1.6152772978767533,123.27051521686377
-498.0,1.5620581966767784,124.28584000000001
-497.0,1.4873041154423652,127.21045376142652
-496.0,1.4195423900038955,131.41566140197534
-495.0,1.3805197645370446,135.95952
-494.0,1.364860616598659,140.10118395524432
-493.0,1.3604087320908795,143.9041969530128
-492.0,1.3550078969158463,147.6332
-491.0,1.3393121882269716,151.4892904175962
-490.0,1.3152168481827609,155.41939078597363
-489.0,1.2874274101929906,159.30688000000004
-488.0,1.2606494076674384,163.120695485482
-487.0,1.239588374015881,167.17200879198168
-486.0,1.228949842648097,171.85755000000003
-485.0,1.2334393469738618,177.4369720849204
-484.0,1.2552044732600667,183.62161960165537
